order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD_00001,1,PRD_00001,SEL_00028,2024-01-03 08:31:00,1912487.85,99044.09
ORD_00001,2,PRD_00013,SEL_00035,2024-01-03 08:31:00,3231861.99,806485.32
ORD_00001,3,PRD_00003,SEL_00024,2024-01-03 08:31:00,4525997.33,880407.8
ORD_00002,1,PRD_00022,SEL_00004,2024-01-03 08:31:00,2635729.01,48110.98
ORD_00002,2,PRD_00042,SEL_00012,2024-01-03 08:31:00,5075450.82,423478.44
ORD_00003,1,PRD_00008,SEL_00071,2024-01-03 08:36:00,1142198.45,790081.99
ORD_00003,2,PRD_00002,SEL_00023,2024-01-03 08:36:00,440449.39,398702.06
ORD_00004,1,PRD_00004,SEL_00089,2024-01-03 08:38:00,305917.49,237006.77
ORD_00004,2,PRD_00001,SEL_00094,2024-01-03 08:38:00,4996727.59,472295.83
ORD_00005,1,PRD_00025,SEL_00051,2024-01-03 08:43:00,1920381.08,813547.0
ORD_00005,2,PRD_00001,SEL_00065,2024-01-03 08:43:00,2821605.19,856286.79
ORD_00006,1,PRD_00005,SEL_00115,2024-01-03 08:43:00,5881843.5,469185.07
ORD_00006,2,PRD_00002,SEL_00011,2024-01-03 08:43:00,5918752.24,630169.23
ORD_00006,3,PRD_00001,SEL_00051,2024-01-03 08:43:00,1264204.18,748563.45
ORD_00006,4,PRD_00007,SEL_00078,2024-01-03 08:43:00,1961089.24,846553.14
ORD_00007,1,PRD_00036,SEL_00010,2024-01-03 08:47:00,2739236.46,433221.48
ORD_00007,2,PRD_00002,SEL_00073,2024-01-03 08:47:00,4715662.62,221004.45
ORD_00007,3,PRD_00008,SEL_00109,2024-01-03 08:47:00,4279325.96,767706.6
ORD_00007,4,PRD_00003,SEL_00032,2024-01-03 08:47:00,2940067.7,376402.74
ORD_00008,1,PRD_00010,SEL_00035,2024-01-03 08:50:00,5701392.86,494637.23
ORD_00008,2,PRD_00001,SEL_00093,2024-01-03 08:50:00,5592968.1,686334.17
ORD_00009,1,PRD_00022,SEL_00041,2024-01-03 08:54:00,3472755.9,558392.04
ORD_00009,2,PRD_00002,SEL_00086,2024-01-03 08:54:00,3139247.06,817033.26
ORD_00009,3,PRD_00011,SEL_00040,2024-01-03 08:54:00,1206804.45,895356.77
ORD_00009,4,PRD_00001,SEL_00061,2024-01-03 08:54:00,4861270.36,137865.05
ORD_00010,1,PRD_00003,SEL_00048,2024-01-03 08:58:00,3462901.28,260457.8
ORD_00010,2,PRD_00017,SEL_00008,2024-01-03 08:58:00,4901416.44,667103.66
ORD_00010,3,PRD_00001,SEL_00061,2024-01-03 08:58:00,550505.16,854898.32
ORD_00011,1,PRD_00008,SEL_00112,2024-01-03 08:58:00,4538646.02,402425.95
ORD_00011,2,PRD_00021,SEL_00019,2024-01-03 08:58:00,2444237.22,648165.01
ORD_00011,3,PRD_00001,SEL_00028,2024-01-03 08:58:00,2064109.42,317362.22
ORD_00012,1,PRD_00001,SEL_00010,2024-01-03 08:58:00,4591943.49,745996.32
ORD_00012,2,PRD_00011,SEL_00064,2024-01-03 08:58:00,714776.42,386377.75
ORD_00012,3,PRD_00010,SEL_00086,2024-01-03 08:58:00,3576806.18,505193.63
ORD_00013,1,PRD_00031,SEL_00106,2024-01-03 09:00:00,1278065.9,497587.68
ORD_00013,2,PRD_00045,SEL_00066,2024-01-03 09:00:00,2535131.59,540785.92
ORD_00013,3,PRD_00006,SEL_00062,2024-01-03 09:00:00,4778033.31,383070.1
ORD_00013,4,PRD_00002,SEL_00081,2024-01-03 09:00:00,4530358.63,733710.56
ORD_00014,1,PRD_00001,SEL_00043,2024-01-03 09:00:00,2661219.04,550653.32
ORD_00014,2,PRD_00009,SEL_00108,2024-01-03 09:00:00,4310364.99,15527.9
ORD_00015,1,PRD_00013,SEL_00089,2024-01-03 09:01:00,1907519.73,384752.88
ORD_00015,2,PRD_00002,SEL_00043,2024-01-03 09:01:00,2498717.04,194332.93
ORD_00015,3,PRD_00003,SEL_00119,2024-01-03 09:01:00,5746282.88,180556.35
ORD_00016,1,PRD_00003,SEL_00047,2024-01-03 09:09:00,2129633.47,562528.58
ORD_00016,2,PRD_00001,SEL_00112,2024-01-03 09:09:00,4488152.83,330373.13
ORD_00016,3,PRD_00002,SEL_00054,2024-01-03 09:09:00,2151968.5,15252.79
ORD_00016,4,PRD_00008,SEL_00039,2024-01-03 09:09:00,4034723.01,464224.79
ORD_00017,1,PRD_00014,SEL_00067,2024-01-03 09:09:00,4521769.25,246711.57
ORD_00017,2,PRD_00003,SEL_00035,2024-01-03 09:09:00,2298766.32,196450.78
ORD_00017,3,PRD_00034,SEL_00062,2024-01-03 09:09:00,1128369.66,833454.74
ORD_00017,4,PRD_00012,SEL_00109,2024-01-03 09:09:00,5049747.28,142077.06
ORD_00018,1,PRD_00009,SEL_00095,2024-01-03 09:10:00,5301811.63,520672.63
ORD_00018,2,PRD_00001,SEL_00061,2024-01-03 09:10:00,5633458.55,132112.43
ORD_00019,1,PRD_00002,SEL_00069,2024-01-03 09:12:00,4273644.22,514230.04
ORD_00019,2,PRD_00037,SEL_00030,2024-01-03 09:12:00,1839270.56,661948.55
ORD_00019,3,PRD_00006,SEL_00095,2024-01-03 09:12:00,4185456.21,540554.18
ORD_00019,4,PRD_00049,SEL_00064,2024-01-03 09:12:00,1434616.51,499608.02
ORD_00020,1,PRD_00005,SEL_00080,2024-01-03 09:12:00,1012352.78,87797.76
ORD_00020,2,PRD_00003,SEL_00062,2024-01-03 09:12:00,2319938.72,698440.54
ORD_00021,1,PRD_00016,SEL_00011,2024-01-03 09:17:00,3672294.91,238769.28
ORD_00021,2,PRD_00031,SEL_00104,2024-01-03 09:17:00,1856701.55,110146.41
ORD_00022,1,PRD_00007,SEL_00061,2024-01-03 09:18:00,2292465.33,778076.2
ORD_00022,2,PRD_00010,SEL_00076,2024-01-03 09:18:00,4514088.48,310690.69
ORD_00022,3,PRD_00032,SEL_00007,2024-01-03 09:18:00,708302.4,752065.03
ORD_00023,1,PRD_00001,SEL_00052,2024-01-03 09:19:00,863302.39,436643.22
ORD_00023,2,PRD_00004,SEL_00048,2024-01-03 09:19:00,527499.94,128893.32
ORD_00024,1,PRD_00007,SEL_00095,2024-01-03 09:25:00,4827927.58,446719.14
ORD_00024,2,PRD_00040,SEL_00062,2024-01-03 09:25:00,2620373.3,378555.61
ORD_00024,3,PRD_00052,SEL_00117,2024-01-03 09:25:00,1994763.49,864987.25
ORD_00025,1,PRD_00044,SEL_00057,2024-01-03 09:27:00,1610000.14,229082.58
ORD_00025,2,PRD_00009,SEL_00104,2024-01-03 09:27:00,1488451.7,456918.86
ORD_00025,3,PRD_00001,SEL_00010,2024-01-03 09:27:00,1168256.65,577032.82
ORD_00025,4,PRD_00003,SEL_00023,2024-01-03 09:27:00,1530989.49,20490.81
ORD_00026,1,PRD_00051,SEL_00002,2024-01-03 09:31:00,4945501.51,45393.55
ORD_00026,2,PRD_00011,SEL_00091,2024-01-03 09:31:00,826350.17,114406.14
ORD_00026,3,PRD_00014,SEL_00046,2024-01-03 09:31:00,758691.01,886076.54
ORD_00026,4,PRD_00003,SEL_00097,2024-01-03 09:31:00,226333.29,556960.98
ORD_00027,1,PRD_00006,SEL_00091,2024-01-03 09:34:00,4635914.06,20802.2
ORD_00027,2,PRD_00016,SEL_00077,2024-01-03 09:34:00,2964594.38,862683.49
ORD_00028,1,PRD_00001,SEL_00051,2024-01-03 09:36:00,3624589.21,650750.58
ORD_00028,2,PRD_00023,SEL_00018,2024-01-03 09:36:00,452598.04,382624.23
ORD_00028,3,PRD_00003,SEL_00074,2024-01-03 09:36:00,2833743.54,791525.23
ORD_00028,4,PRD_00005,SEL_00008,2024-01-03 09:36:00,4403312.97,63777.6
ORD_00029,1,PRD_00006,SEL_00040,2024-01-03 09:37:00,2159756.04,805828.39
ORD_00029,2,PRD_00034,SEL_00029,2024-01-03 09:37:00,3333009.32,21590.74
ORD_00030,1,PRD_00045,SEL_00109,2024-01-03 09:37:00,5032611.67,497321.99
ORD_00030,2,PRD_00006,SEL_00029,2024-01-03 09:37:00,2691631.42,204765.65
ORD_00031,1,PRD_00001,SEL_00039,2024-01-03 09:39:00,2625781.51,46987.41
ORD_00031,2,PRD_00037,SEL_00018,2024-01-03 09:39:00,3243554.92,670110.69
ORD_00031,3,PRD_00034,SEL_00030,2024-01-03 09:39:00,1229626.79,278465.02
ORD_00031,4,PRD_00014,SEL_00119,2024-01-03 09:39:00,3093676.29,309689.42
ORD_00032,1,PRD_00005,SEL_00052,2024-01-03 09:42:00,3742260.12,875672.25
ORD_00032,2,PRD_00034,SEL_00117,2024-01-03 09:42:00,5117346.4,836309.91
ORD_00032,3,PRD_00001,SEL_00097,2024-01-03 09:42:00,2477305.81,168302.89
ORD_00032,4,PRD_00026,SEL_00027,2024-01-03 09:42:00,960699.73,102317.42
ORD_00033,1,PRD_00005,SEL_00002,2024-01-03 09:43:00,4895696.43,309600.6
ORD_00033,2,PRD_00003,SEL_00022,2024-01-03 09:43:00,4416767.53,216896.66
ORD_00033,3,PRD_00032,SEL_00074,2024-01-03 09:43:00,2322596.47,813616.09
ORD_00034,1,PRD_00024,SEL_00032,2024-01-03 09:44:00,2736929.4,693538.27
ORD_00034,2,PRD_00040,SEL_00010,2024-01-03 09:44:00,4273984.74,672405.09
ORD_00034,3,PRD_00003,SEL_00011,2024-01-03 09:44:00,2493745.23,287554.06
ORD_00034,4,PRD_00021,SEL_00008,2024-01-03 09:44:00,4500028.6,713764.18
ORD_00035,1,PRD_00004,SEL_00016,2024-01-03 09:45:00,2718142.57,789655.43
ORD_00035,2,PRD_00001,SEL_00011,2024-01-03 09:45:00,2504077.45,582322.46
ORD_00036,1,PRD_00003,SEL_00024,2024-01-03 09:47:00,4291218.18,861271.11
ORD_00036,2,PRD_00001,SEL_00043,2024-01-03 09:47:00,2935099.95,329671.98
ORD_00036,3,PRD_00007,SEL_00047,2024-01-03 09:47:00,3847642.83,244868.7
ORD_00036,4,PRD_00032,SEL_00051,2024-01-03 09:47:00,4919951.25,364858.05
ORD_00037,1,PRD_00003,SEL_00069,2024-01-03 09:48:00,944031.24,466468.39
ORD_00037,2,PRD_00005,SEL_00108,2024-01-03 09:48:00,4791180.5,593753.9
ORD_00037,3,PRD_00015,SEL_00105,2024-01-03 09:48:00,937384.0,81305.78
ORD_00037,4,PRD_00016,SEL_00086,2024-01-03 09:48:00,2184479.42,147260.23
ORD_00038,1,PRD_00001,SEL_00109,2024-01-03 09:50:00,4744987.17,527489.49
ORD_00038,2,PRD_00027,SEL_00091,2024-01-03 09:50:00,5165394.13,367374.04
ORD_00038,3,PRD_00005,SEL_00030,2024-01-03 09:50:00,2674351.93,334848.35
ORD_00038,4,PRD_00034,SEL_00024,2024-01-03 09:50:00,4632355.11,352178.22
ORD_00039,1,PRD_00002,SEL_00084,2024-01-03 09:52:00,4994163.36,237265.06
ORD_00039,2,PRD_00027,SEL_00057,2024-01-03 09:52:00,3492263.43,449827.66
ORD_00039,3,PRD_00007,SEL_00046,2024-01-03 09:52:00,3590674.47,144905.15
ORD_00039,4,PRD_00014,SEL_00056,2024-01-03 09:52:00,4774973.23,31602.61
ORD_00040,1,PRD_00008,SEL_00062,2024-01-03 09:55:00,5864816.7,682834.76
ORD_00040,2,PRD_00034,SEL_00010,2024-01-03 09:55:00,2976111.65,747957.5
ORD_00041,1,PRD_00028,SEL_00003,2024-01-03 10:00:00,3491703.56,553592.32
ORD_00041,2,PRD_00006,SEL_00062,2024-01-03 10:00:00,2665637.17,692231.85
ORD_00041,3,PRD_00007,SEL_00105,2024-01-03 10:00:00,2674334.67,347943.43
ORD_00042,1,PRD_00007,SEL_00030,2024-01-03 10:00:00,1740921.34,420024.17
ORD_00042,2,PRD_00002,SEL_00108,2024-01-03 10:00:00,3332899.11,395400.98
ORD_00043,1,PRD_00005,SEL_00023,2024-01-03 10:01:00,4464340.57,847569.83
ORD_00043,2,PRD_00001,SEL_00018,2024-01-03 10:01:00,2174595.0,539710.27
ORD_00043,3,PRD_00004,SEL_00082,2024-01-03 10:01:00,5317636.39,11685.56
ORD_00043,4,PRD_00002,SEL_00094,2024-01-03 10:01:00,1659253.03,728233.03
ORD_00044,1,PRD_00007,SEL_00051,2024-01-03 10:02:00,4015114.65,238460.25
ORD_00044,2,PRD_00023,SEL_00106,2024-01-03 10:02:00,2189214.79,847632.04
ORD_00044,3,PRD_00015,SEL_00040,2024-01-03 10:02:00,1386877.51,501679.49
ORD_00044,4,PRD_00046,SEL_00001,2024-01-03 10:02:00,3622561.42,830486.9
ORD_00045,1,PRD_00007,SEL_00012,2024-01-03 10:02:00,5814280.3,509450.18
ORD_00045,2,PRD_00002,SEL_00095,2024-01-03 10:02:00,821181.82,455924.89
ORD_00045,3,PRD_00016,SEL_00057,2024-01-03 10:02:00,3883621.16,465125.23
ORD_00045,4,PRD_00001,SEL_00068,2024-01-03 10:02:00,978288.29,220855.05
ORD_00046,1,PRD_00002,SEL_00004,2024-01-03 10:02:00,1419235.81,587544.34
ORD_00046,2,PRD_00006,SEL_00117,2024-01-03 10:02:00,1068617.58,242990.02
ORD_00046,3,PRD_00037,SEL_00016,2024-01-03 10:02:00,5176076.51,108703.86
ORD_00047,1,PRD_00019,SEL_00049,2024-01-03 10:02:00,4958541.62,607981.45
ORD_00047,2,PRD_00004,SEL_00018,2024-01-03 10:02:00,2324810.25,801778.36
ORD_00048,1,PRD_00033,SEL_00074,2024-01-03 10:05:00,543891.61,290023.63
ORD_00048,2,PRD_00002,SEL_00003,2024-01-03 10:05:00,3148060.06,85260.56
ORD_00049,1,PRD_00035,SEL_00088,2024-01-03 10:08:00,2158562.15,806540.61
ORD_00049,2,PRD_00028,SEL_00072,2024-01-03 10:08:00,4325208.66,486374.99
